Row Labels,Education
15,176.5710145
16,161.758787
17,148.6219686
18,98.77352298
19,56.57756233
20,51.76681614
21,49.60991736
22,44.80424886
23,39.54317549
24,30.23961219
25,27.31038798
26,18.03092784
27,17.96020942
28,11.79539171
29,14.81539808
30,13.54700855
31,8.472962681
32,9.041759881
33,8.52211127
34,7.889570552
35,3.549315068
36,5.047459893
37,3.880692752
38,5.81977879
39,5.150030248
40,6.345574955
41,3.26929982
42,3.592326139
43,5.186430678
44,5.386716325
45,4.049273531
46,2.861405836
47,3.366197183
48,3.538853503
49,3.704906205
50,3.465400271
51,2.187834225
52,2.955808981
53,2.548672566
54,3.048084147
55,0.952012384
56,2.649539877
57,1.442155309
58,2.493796526
59,1.92254134
60,1.698741007
61,1.770666667
62,2.252725471
63,1.041751527
64,1.691568837
65,1.024266936
66,0.678418803
67,1.541317365
68,0.888451444
69,1.151271754
70,1.688405797
71,0.418032787
72,0.367775832
73,0.596581197
74,0.419889503
75,1.079766537
76,1.714579055
77,0.687382298
78,2.718120805
79,0.514905149
80,0.436965203
85,0.303030303